日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
2020-11-13,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5699.9,5699.95,5643.48,5684.6,-33.02,-0.58,48824.74,6667.32,3582
2020-11-16,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5706.41,5740.77,5673.34,5740.77,56.17,0.99,58432.63,7384.75,3585
2020-11-17,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5738.0,5738.0,5675.66,5709.83,-30.94,-0.54,61047.49,7840.51,3585
2020-11-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5703.46,5737.27,5684.21,5708.5,-1.33,-0.02,60082.61,7538.88,3586
2020-11-19,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5695.7,5753.55,5675.99,5743.46,34.97,0.61,56683.1,7083.74,3586
2020-11-20,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5741.35,5778.16,5735.09,5773.69,30.23,0.53,55936.42,6908.36,3587
2020-11-23,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5784.2,5854.3,5764.54,5825.68,51.99,0.9,74014.93,8872.45,3588
2020-11-24,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5819.62,5824.95,5791.53,5806.81,-18.86,-0.32,62154.15,7628.52,3588
2020-11-25,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5822.34,5827.39,5719.41,5719.41,-87.4,-1.5,65709.99,7987.13,3588
2020-11-26,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5714.88,5730.21,5661.8,5712.97,-6.44,-0.11,54099.72,6761.27,3588
2020-11-27,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5719.72,5752.1,5685.92,5752.1,39.12,0.68,55788.37,6673.81,3588
2020-11-30,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5762.64,5813.85,5731.61,5731.61,-20.48,-0.36,71962.16,8846.3,3588
2020-12-01,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5727.31,5842.59,5725.77,5836.68,105.07,1.83,65171.68,8068.98,3588
2020-12-02,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5842.46,5854.68,5811.91,5842.36,5.68,0.1,66580.81,8084.25,3588
2020-12-03,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5839.58,5851.12,5808.66,5834.37,-7.99,-0.14,63900.84,7604.84,3590
2020-12-04,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5824.25,5858.67,5801.2,5851.61,17.23,0.29,54546.31,6924.45,3592
2020-12-07,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5854.95,5858.89,5813.36,5817.42,-34.18,-0.58,54154.45,7112.66,3593
2020-12-08,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5822.37,5836.93,5798.36,5810.35,-7.08,-0.12,48954.21,6490.66,3593
2020-12-09,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5819.58,5827.01,5718.98,5718.98,-91.36,-1.57,56335.96,7308.28,3595
2020-12-10,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5703.36,5749.54,5686.54,5721.33,2.34,0.04,50899.7,6528.83,3595
2020-12-11,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5734.51,5736.41,5604.05,5649.5,-71.82,-1.26,61086.27,7746.56,3597
2020-12-14,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5656.28,5704.4,5634.22,5702.43,52.92,0.94,50010.46,6565.73,3596
2020-12-15,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5697.28,5724.4,5674.93,5715.55,13.13,0.23,47649.67,6542.97,3596
2020-12-16,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5723.14,5726.6,5689.7,5703.29,-12.26,-0.21,48376.99,6346.37,3597
2020-12-17,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5702.61,5771.16,5674.51,5767.9,64.61,1.13,57051.64,7275.63,3597
2020-12-18,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5767.55,5783.73,5728.94,5748.79,-19.11,-0.33,56185.53,7137.81,3597
2020-12-21,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5749.53,5826.06,5731.89,5825.36,76.57,1.33,59694.59,8044.77,3598
2020-12-22,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5807.71,5825.54,5712.4,5717.11,-108.25,-1.86,67319.88,8875.36,3598
2020-12-23,902,中证流通指数,中证流通,CSI Free Float Index,CSI Free Float,5725.72,5786.77,5722.99,5765.16,48.05,0.84,63181.69,8621.04,3599
